Stock Name,Ticker,12 Month Sales Growth,5 Year Sales Growth,12 Month EPS Growth,5 Year EPS Growth,Last Quarter EPS Surprise %,Estimated EPS Growth Next Year
Triumph,TGI,19.09%,-48.66%,,,158.33%,86.27%
Phreesia,PHR,32.36%,,,,31.37%,-27.03%
NerdWallet,NRDS,14.46%,,,,0.00%,95.45%
Alexander's,ALX,7.73%,-7.86%,332.87%,264.72%,-22.31%,-30.91%
TriMas,TRS,-1.89%,3.68%,-44.68%,-38.10%,32.14%,9.50%
Collegium Pharmaceutical,COLL,9.71%,85.53%,,,-2.94%,10.05%
Bel Fuse,BELFA,-1.05%,19.95%,59.56%,294.55%,0.00%,
Bain Capital Specialty Finance,BCSF,44.61%,253.34%,66.67%,164.71%,0.00%,-3.52%
Cracker Barrel Old Country Store,CBRL,0.76%,3.19%,14.29%,-34.12%,57.14%,-5.88%
Silver Standard Resources,SSRM,-5.80%,189.37%,29.63%,775.00%,650.00%,-54.55%
Precision Drilling,PDS,24.00%,23.52%,,,-6.00%,40.90%
Preferred Bank,PFBC,78.28%,134.13%,50.28%,427.45%,1.67%,-5.99%
EHang Holdings,EH,254.95%,,,,0.00%,-46.34%
SMART Global Holdings,SGH,-17.13%,14.26%,-213.64%,-172.46%,-25.00%,147.46%
Janus Henderson Sustainable & Impact Core Bond ETF,JACK,-0.34%,111.16%,30.56%,-11.88%,2.10%,12.36%
AtriCure,ATRC,19.39%,94.83%,,,-19.05%,-25.33%
Fastly,FSLY,19.81%,,,,6.67%,-12.96%
Employers Holdings Inc,EIG,59.05%,5.44%,,1.56%,-2.90%,-0.55%
"BARINGS BDC, INC",BBDC,35.46%,195.64%,,15.63%,-6.67%,-1.71%
UMH Properties,UMH,12.33%,72.24%,,-117.50%,0.00%,12.09%
Enliven Therapeutics,ELVN,,,,,6.90%,21.24%
Archer Aviation,ACHR,,,,,0.00%,-14.29%
Cassava Sciences,SAVA,,,,,-176.47%,-187.63%
Leslie's,LESL,-9.31%,,-41.79%,,0.00%,40.00%
Sandy Spring Bancorp,SASR,17.55%,87.58%,-54.55%,-19.12%,6.52%,37.95%
MiMedx,MDXG,21.50%,-14.84%,,-100.00%,75.00%,44.12%
Metallus,MTUS,-14.22%,-13.76%,-56.34%,226.32%,60.00%,20.57%
Global Ship Lease,GSL,3.68%,340.64%,6.45%,182.86%,8.12%,-12.70%
MidCap Financial Investment,MFIC,24.83%,,333.33%,116.67%,2.33%,-4.65%
Borr Drilling,BORR,109.76%,1522.64%,,,0.00%,
XPEL,XPEL,21.87%,,32.56%,533.33%,-7.69%,11.25%
Vivid Seats,SEAT,11.98%,,66.67%,,-20.00%,38.46%
Encore Capital Group Inc,ECPG,-9.49%,-7.64%,-52.84%,8.00%,1.06%,49.55%
Arcturus Therapeutics Holdings,ARCT,-61.17%,340.17%,,,14.53%,-89.75%
Docebo,DCBO,24.76%,,-383.33%,,28.57%,47.83%
Franklin BSP Realty Trust,FBRT,111.56%,28.27%,,44.44%,-2.38%,1.19%
Veradigm,MDRX,180.40%,314.17%,-86.03%,,0.00%,37.74%
Scholastic,SCHL,2.70%,6.47%,51.33%,53.38%,0.00%,49.75%
MoneyLion,ML,21.98%,,,,306.90%,280.00%
Peoples Bancorp,PEBO,50.91%,149.76%,-27.27%,56.10%,4.94%,3.49%
Hibbett,HIBB,7.42%,65.81%,-5.19%,144.64%,-0.39%,8.67%
ProPetro Holding,PUMP,38.14%,-5.36%,,-24.44%,125.00%,23.88%
Ellington Financial,EFC,40.45%,166.62%,,-94.20%,-20.00%,16.44%
Herbalife,HLF,-5.65%,2.22%,-31.82%,-3.23%,32.43%,33.11%
IDT,IDT,-8.85%,-18.09%,50.00%,,0.00%,
Shenandoah Telecommunications Co,SHEN,8.06%,-54.42%,,-78.95%,-300.00%,23.08%
TDCX,TDCX,10.37%,,27.27%,,28.57%,1.59%
Shoe Carnival,SCVL,-11.45%,9.22%,-36.84%,42.86%,6.67%,12.45%
Adecoagro S.A,AGRO,19.34%,58.30%,-64.91%,150.00%,0.00%,-34.50%
Bristow Group,VTOL,8.04%,451.80%,-142.86%,,0.00%,
Byline Bancorp,BY,50.61%,105.86%,29.63%,775.00%,11.11%,-2.29%
Tuya,TUYA,-14.15%,,,,50.00%,-66.67%
Wabash National,WNC,6.82%,12.07%,234.78%,185.19%,-13.33%,31.65%
Centerspace,CSR,2.63%,40.22%,,-387.50%,9.82%,4.16%
Angi,ANGI,-27.28%,27.22%,,-160.00%,100.00%,-600.00%
Armada Hoffler Properties,AHH,59.79%,236.93%,-58.06%,44.44%,6.45%,-0.81%
HCI,HCI,1.11%,116.51%,,39.13%,33.21%,4.28%
ZipRecruiter,ZIP,-28.97%,,27.27%,,0.00%,-82.61%
Soho House & Co,SHCO,18.52%,,,,-9.09%,-51.43%
Deluxe,DLX,1.55%,17.09%,-26.00%,-70.40%,11.67%,7.91%
SilverBow Resources,SBOW,-30.78%,146.15%,-77.78%,450.00%,13.59%,9.84%
Despegar,DESP,41.19%,20.72%,,-152.63%,50.00%,44.74%
LendingClub,LC,-12.27%,-1.36%,-94.80%,,266.67%,122.22%
Capital Product Partners,CPLP,10.44%,175.39%,-61.11%,276.92%,3.23%,8.44%
Repay Holdings,RPAY,6.44%,,,,0.00%,14.29%
Chipmos Technologies,IMOS,-36.89%,16.55%,-84.87%,800.00%,0.00%,
Cronos Group,CRON,-11.94%,623.19%,,,0.00%,
Paramount,PGRE,-6.93%,-9.80%,,,10.00%,-18.18%
BioLife Solutions,BLFS,-2.52%,662.74%,,-560.00%,26.92%,-72.00%
Ironwood Pharmaceuticals,IRWD,10.44%,32.39%,-3357.14%,,-111.11%,33.93%
Innoviva,INVA,-25.16%,20.72%,100.00%,-95.92%,0.00%,
Artivion,AORT,11.09%,30.29%,,-900.00%,200.00%,62.50%
Churchill Capital Corp VII,CVII,,,-44.44%,,0.00%,
Liquidia Technologies,LQDA,22.19%,,,,-68.75%,-72.22%
Mativ Holdings,MATV,56.73%,147.15%,-122.22%,-109.64%,-92.00%,80.00%
Verona Pharma American Depositary Share,VRNA,,,,-233.33%,-33.33%,-16.33%
Fiverr,FVRR,5.15%,385.82%,,,-55.56%,73.33%
Nuveen Churchill Direct Lending,NCDL,125.39%,,,,14.29%,-12.07%
QuinStreet,QNST,-11.05%,16.85%,,-1045.45%,-85.71%,-111.63%
Gyre Therapeutics,GYRE,1128.08%,,-104.27%,,0.00%,-33.33%
Allegiant Travel,ALGT,8.57%,56.56%,1900.00%,54.84%,11.76%,112.15%
Origin Bancorp,OBK,84.94%,167.20%,-22.22%,32.08%,19.67%,7.55%
Pitney Bowes,PBI,-10.90%,-10.26%,-4150.00%,-400.00%,75.00%,1600.00%
Arcutis Biotherapeutics,ARQT,,,,,46.67%,-29.38%
Simulations Plus,SLP,8.49%,89.82%,0.00%,53.85%,11.11%,-100.00%
Genco Shipping & Trading,GNK,-34.26%,5.11%,-75.45%,,6.52%,4.27%
Berkshire Hills Bancorp,BHLB,56.68%,20.29%,10.00%,-25.68%,4.26%,16.02%
Middlesex Water,MSEX,7.86%,22.57%,10.00%,5.77%,31.11%,5.26%
Sabine Royalty Trust,SBR,-37.27%,33.56%,-38.50%,33.72%,0.00%,
Chimera Investment,CIM,0.77%,-35.76%,,-86.21%,20.00%,22.70%
OPKO Health,OPK,-14.35%,0.66%,,,-33.33%,-33.33%
Endeavour Silver,EXK,62.67%,29.15%,,,0.00%,275.00%
NextNav,NN,-43.66%,,-1600.00%,,-100.00%,-30.43%
QCR Holdings,QCRH,43.86%,163.33%,94.25%,131.51%,20.45%,9.34%
Bicycle Therapeutics,BCYC,160.27%,586.75%,,,50.79%,12.84%
BLACKROCK TCP CAPITAL CORP,TCPC,22.75%,11.44%,,300.00%,0.00%,-5.26%
Plymouth Industrial REIT,PLYM,9.41%,314.11%,,,-4.26%,7.89%
Nextdoor Holdings,KIND,4.31%,,,,22.22%,-12.50%
ARMOUR Residential REIT,ARR,178.36%,104.96%,,-9.09%,36.67%,15.03%
NexPoint Residential Trust,NXRT,5.78%,95.09%,,,13.16%,-6.83%
Koppers Holdings,KOP,14.87%,32.39%,109.09%,3733.33%,1.64%,11.75%
Sinclair,SBGI,-8.24%,5.19%,,-611.11%,179.63%,-117.33%
German American Bancorp,GABC,16.25%,93.99%,-7.41%,56.25%,0.00%,2.39%
NWTN,NWTN,,,,,0.00%,
Interface,TILE,-4.91%,16.20%,-3.57%,-22.86%,100.00%,10.17%
Bridge Investments,BRDG,-0.22%,,-154.55%,,6.25%,41.77%
Argan,AGX,3.39%,-26.66%,-68.00%,-48.39%,0.00%,
Immatics,IMTX,33.02%,,,,94.59%,18.25%
Duckhorn Portfolio,NAPA,-0.37%,,7.14%,,0.00%,14.29%
Sable Offshore,SOC,,,300.00%,,0.00%,-329.63%
Ballard Power Systems,BLDP,-26.85%,-42.12%,,,-7.69%,-7.84%
Tsakos Energy Navigation,TNP,74.49%,,,,-1.89%,6.80%
Standard BioTools,LAB,47.34%,4.69%,,,-100.00%,-27.50%
"AVANOS MEDICAL, INC",AVNS,-0.88%,5.28%,-661.54%,-300.00%,-9.52%,31.16%
Westrock Coffee,WEST,0.57%,,,,-550.00%,-450.00%
P10,PX,33.65%,,-77.78%,,10.53%,13.41%
Ardmore Shipping,ASC,-14.19%,75.57%,-29.63%,,5.75%,-38.15%
Carlyle Secured Lending,CGBD,34.78%,14.53%,14.29%,-61.90%,3.85%,-8.29%
USANA Health Sciences,USNA,-9.93%,-20.98%,-11.00%,-34.56%,24.64%,13.31%
Beazer Homes USA,BZH,8.71%,11.93%,-19.32%,246.34%,38.46%,11.06%
Gorman-Rupp,GRC,43.63%,52.93%,,2.56%,-14.29%,20.65%
Piedmont Office Realty Trust,PDM,4.96%,10.76%,-133.33%,-122.22%,0.00%,0.00%
FIGS,FIGS,12.99%,,-33.33%,,200.00%,200.00%
Radware,RDWR,-12.65%,14.52%,-285.71%,-425.00%,100.00%,37.50%
American Axle & Manufacturing Holdings,AXL,9.21%,-17.37%,-63.16%,-94.62%,1700.00%,65.00%
SLR Investment,SLRC,31.70%,43.76%,,-25.53%,0.00%,-5.75%
Immunome,IMNM,,,,,57.50%,106.43%
Heartland Express,HTLD,63.01%,96.48%,-89.69%,-54.55%,-72.73%,-530.77%
EnCore Energy,EU,,,,,-50.00%,-483.33%
Aris Water Solutions,ARIS,26.50%,,200.00%,,9.52%,28.57%
Global Blue AG,GB,108.04%,,,,-42.86%,138.46%
PureTech Health,PRTC,,,,,0.00%,89.38%
Service Properties Trust,SVC,-2.33%,-17.68%,-200.00%,-111.86%,-31.58%,5.84%
Guild Holdings,GHLD,-17.64%,,-36.84%,,-41.18%,18.18%
Thoughtworks Holding,TWKS,-13.52%,,,,-66.67%,-333.33%
BlueLinx Holdings,BXC,-34.16%,-8.62%,-63.90%,,0.00%,
Humacyte,HUMA,43.75%,,-162.86%,,-26.09%,-25.26%
Teekay,TK,40.82%,-2.52%,720.00%,,0.00%,
Air Transport Services,ATSG,3.86%,159.98%,-20.97%,133.33%,23.08%,43.84%
SunCoke Energy,SXC,6.48%,45.61%,14.29%,300.00%,4.55%,-32.22%
Clearwater Paper,CLW,-0.34%,21.41%,103.49%,316.67%,0.00%,
Digi,DGII,8.42%,80.25%,50.00%,80.00%,2.50%,11.63%
OceanFirst Financial,OCFC,48.67%,101.39%,-4.26%,40.63%,4.76%,11.11%
Ocular Therapeutix,OCUL,23.80%,2236.92%,,,-33.33%,-9.28%
Real Brokerage,REAX,64.94%,,,,0.00%,-16.67%
Abivax SA,ABVX,,,,,0.00%,-2.68%
Core Laboratories,CLB,5.77%,-27.13%,220.00%,-14.29%,18.18%,41.89%
Critical Metals,CRML,,,,,0.00%,
Bitfarms,BITF,-25.49%,,-150.00%,,33.33%,-157.14%
Hovnanian Enterprises Inc,HOV,0.16%,40.02%,-46.72%,,0.00%,-100.00%
Golden Entertainment,GDEN,-0.93%,32.39%,-40.30%,233.33%,-384.62%,180.00%
REX American Resources,REX,-11.80%,64.63%,-17.46%,8.33%,87.10%,90.23%
CECO Environmental,CECO,22.58%,59.30%,-15.38%,,0.00%,43.62%
Saul Centers,BFS,5.67%,13.61%,0.00%,0.00%,3.90%,-7.77%
CureVac,CVAC,,,,,-54.55%,-43.24%
Loma Negra Compania Industrial Argentina S.A,LOMA,16.29%,-8.54%,-8.00%,4.55%,0.00%,-2.47%
Matthews,MATW,11.90%,14.65%,211.11%,-63.64%,53.33%,16.60%
FTAI Infrastructure,FIP,24.23%,,,,0.00%,
Centessa Pharmaceuticals,CNTA,,,,,7.32%,-5.68%
A-Mark Precious Metals,AMRK,49.27%,76.56%,10.39%,,-53.33%,-100.00%
Barrett Business Services,BBSI,0.93%,14.26%,-0.40%,69.18%,93.55%,10.44%
IMAX,IMAX,32.46%,-0.38%,,25.00%,166.67%,43.33%
Unitil,UTL,4.55%,22.37%,-16.67%,4.17%,6.96%,5.48%
Nordic American Tankers,NAT,95.11%,128.90%,,,-42.86%,17.02%
TechTarget,TTGT,-25.93%,85.67%,-73.68%,-33.33%,-200.00%,17.46%
Bel Fuse,BELFB,-1.05%,19.95%,59.56%,294.55%,21.15%,15.95%
ARS Pharmaceuticals,SPRY,,,,,0.00%,-43.06%
Gatos Silver,GATO,,,-162.50%,,0.00%,
Silk Road Medical,SILK,36.57%,483.01%,,,10.00%,-6.29%
Granite Ridge Resources,GRNT,-41.73%,,-90.00%,,-7.69%,35.00%
Ducommun,DCO,7.53%,20.98%,-50.00%,21.43%,32.08%,35.38%
PureCycle Technologies,PCT,,,,,-55.56%,-47.95%
Graphjet Technology,GTI,,,,,0.00%,
Nayax,NYAX,53.56%,,,,-650.00%,-527.27%
IRSA Inversiones Y Representaciones S.A,IRS,35.70%,-92.78%,,31.15%,0.00%,
Tyra Biosciences,TYRA,,,,,23.91%,22.22%
Relay Therapeutics,RLAY,-67.57%,,,,11.43%,-1.77%
Universal Technical Institute Inc,UTI,51.82%,104.69%,,,-6.67%,26.76%
Mesoblast,MESO,-58.22%,28.21%,,,0.00%,-1.41%
PRA,PRAA,-18.98%,-5.54%,-110.99%,-123.26%,160.00%,145.71%
Bowhead Specialty Holdings,BOW,,,,,0.00%,
Core Scientific,CORZ,,,,,280.00%,-100.00%
Zentalis Pharmaceuticals,ZNTL,,,,,116.47%,34.93%
Alpha And Omega Semiconductor,AOSL,-16.72%,46.98%,-98.25%,-75.00%,20.93%,63.16%
Mission Produce,AVO,-20.50%,,-333.33%,,200.00%,-3.23%
Disc Medicine,IRON,,,,,-9.00%,9.85%
AMERISAFE,AMSF,11.20%,-20.68%,153.13%,-7.95%,4.55%,-13.06%
Redwood Trust,RWT,6.88%,115.69%,,-97.37%,0.00%,42.86%
Pagaya Technologies,PGY,7.74%,,,,72.73%,-376.47%
BrightSphere Investment Group,BSIG,0.84%,-58.83%,-59.70%,1250.00%,29.41%,14.86%
OPAL Fuels,OPAL,3.42%,,,,-150.00%,166.67%
Accel Entertainment,ACEL,28.43%,,-54.17%,266.67%,11.11%,-23.29%
EverQuote,EVER,-33.29%,65.47%,,,171.43%,375.00%
HealthStream,HSTM,5.42%,21.38%,30.00%,62.50%,70.00%,11.11%
Westlake Chemical Partners LP,WLKP,-41.14%,-12.52%,-27.66%,-15.00%,-2.33%,1.71%
Empresa Distribuidora Y Comercializadora Norte S.A (Edenor),EDN,26.63%,-10.96%,,,0.00%,-18.78%
Bank First National,BFC,59.36%,123.17%,-11.61%,42.71%,1.34%,2.39%
Snap One Holdings,SNPO,-7.58%,,,,-1050.00%,200.00%
BJ's Restaurants,BJRI,6.06%,21.57%,4900.00%,-36.71%,113.33%,19.85%
Hello Group,MOMO,-17.35%,-5.67%,21.74%,-54.84%,-100.00%,5.31%
Ryerson Holding,RYI,-22.94%,27.09%,-79.22%,130.43%,-162.07%,
Praxis Precision Medicines,PRAX,,,,,-41.29%,-2.67%
Southside Bancshares,SBSI,47.04%,43.57%,2.53%,42.11%,-5.33%,2.96%
Atrion,ATRI,-10.31%,12.84%,-28.27%,-21.31%,0.00%,
Evolus,EOLS,32.80%,,,,-33.33%,-103.28%
Kelly Services,KELYB,-3.95%,-12.24%,233.33%,,0.00%,
Ambac Financial,AMBC,-27.91%,-58.84%,-363.64%,-422.22%,290.48%,-17.24%
Nabors Industries,NBR,23.27%,2.64%,,,-130.36%,-247.25%
ILearningEngines,AILE,,,-106.25%,,0.00%,-412.50%
ProKidney,PROK,,,,,36.00%,18.03%
Algoma Steel Group,ASTL,-64.53%,,-86.89%,,0.00%,-5.19%
Steel Partners Holdings LP,SPLP,13.48%,15.30%,-30.68%,480.95%,0.00%,
Brandywine Realty Trust,BDN,1.48%,-5.91%,-366.67%,-214.29%,0.00%,7.53%
Healthcare Services,HCSG,-1.40%,-16.48%,33.33%,-65.71%,22.22%,6.25%
First Bancshares,FBMS,80.92%,221.55%,-1.32%,87.50%,8.33%,7.35%
DXP Enterprises,DXPE,16.38%,37.53%,43.24%,68.25%,0.00%,11.76%
BrightSpire Capital,BRSP,-0.20%,-21.68%,-123.08%,-150.00%,-8.70%,8.54%
Gray Television,GTN.A,-6.34%,225.20%,-110.99%,-121.74%,0.00%,
WalkMe,WKME,15.90%,,,,50.00%,-12.12%
Malibu Boats,MBUU,5.40%,168.50%,-137.66%,-245.00%,35.00%,84.24%
Dynex Capital,DX,130.15%,62.85%,39.13%,41.18%,0.00%,
Hut 8,HUT,-66.74%,,,,-183.33%,-100.00%
Eagle Point Credit,ECC,19.06%,87.65%,,-10.53%,-17.14%,2.24%
Proto Labs,PRLB,-3.65%,11.51%,-111.11%,-101.49%,53.85%,-7.25%
Prime Medicine,PRME,,,,,2.22%,-10.37%
89BIO,ETNB,,,,,-12.50%,26.45%
SunCar Technology Group,SDA,,,,,0.00%,
Nurix Therapeutics,NRIX,168.42%,,,,5.00%,5.50%
Energy Recovery,ERII,2.12%,-0.19%,,-110.71%,7.14%,66.67%
"Sturm, Ruger",RGR,1.53%,11.21%,-22.22%,5.81%,0.00%,-100.00%
Aurinia Pharmaceuticals Inc,AUPH,47.18%,138200.00%,,,82.35%,253.33%
Smith & Wesson Brands,SWBI,-20.14%,-15.84%,-65.43%,100.00%,0.00%,-32.50%
Kelly Services,KELYA,-3.95%,-12.24%,233.33%,,21.74%,26.74%
Amalgamated Financial,AMAL,42.40%,,11.11%,79.49%,15.28%,6.07%
Open Lending,LPRO,-26.69%,,-50.00%,200.00%,-20.00%,63.64%
CrossAmerica Partners LP,CAPL,-22.35%,70.12%,2.86%,,-300.00%,76.92%
Montauk Renewables,MNTK,-21.54%,,-92.31%,,150.00%,-4.17%
AMTD Digital,HKD,,,,,0.00%,
Redfin,RDFN,-21.05%,93.19%,,-725.00%,1.72%,-26.79%
Brookline Bancorp,BRKL,77.52%,80.41%,-24.24%,-3.85%,-27.27%,40.28%
Nuvation Bio,NUVB,,,,,12.50%,41.94%
Cogent Biosciences,COGT,301.31%,,,,-24.00%,-6.85%
Patria Investments,PAX,34.12%,,0.00%,,-38.24%,17.27%
Viridian Therapeutics,VRDN,-73.08%,-94.12%,,,26.17%,6.37%
Stoke Therapeutics,STOK,-176.78%,,,,5.00%,22.17%
PennantPark Floating Rate Capital,PFLT,46.56%,93.09%,,-15.38%,-6.06%,-0.77%
Uniti Group,UNIT,-0.10%,14.71%,-47.62%,,-5.88%,2.94%
Community Trust Bancorp,CTBI,32.97%,42.69%,-5.26%,63.64%,6.12%,3.33%
First Mid Bancshares,FMBH,22.59%,122.45%,-6.98%,11.11%,8.14%,1.55%
Root,ROOT,-6.97%,,,,83.27%,-27.92%
WAVE Life Sciences,WVE,5718.42%,1910.00%,,,-33.33%,11.76%
AMC Networks,AMCX,-8.05%,-10.87%,-16.23%,-12.09%,-35.20%,-5.88%
Thryv Holdings,THRY,-24.72%,,-73.29%,,-40.54%,392.00%
B&G Foods,BGS,-1.95%,20.92%,,25.00%,-10.00%,6.33%
NGL Energy Partners LP,NGL,-19.12%,-58.58%,,-170.42%,166.67%,200.00%
OrthoPediatrics,KIDS,20.13%,162.33%,,,28.57%,10.00%
Haynes,HAYN,10.55%,27.22%,-45.16%,1033.33%,-23.26%,45.87%
Vitesse Energy,VTS,-34.53%,,625.00%,,11.11%,28.77%
World Acceptance,WRLD,-4.90%,13.75%,42.71%,30.75%,40.00%,-100.00%
Scholar Rock Holding,SRRK,17.95%,,,,-15.69%,-12.92%
CARGO Therapeutics,CRGX,,,,,17.14%,9.96%
RMR Group,RMR,32.75%,351.40%,221.74%,184.62%,-2.50%,13.76%
Metals Acquisition,MTAL,,,-86.36%,,0.00%,-4.21%
Yalla Group,YALA,1.63%,,10.00%,,0.00%,
Almacenes Exito S.A,EXTO,,,,,0.00%,
Burke & Herbert Financial Services,BHRB,,,,,0.00%,
Amerant Bancorp,AMTB,96.34%,81.65%,-12.00%,-12.00%,-11.11%,43.02%
Bioceres Crop Solutions,BIOX,-2.62%,,,,-12.50%,117.95%
Ethan Allen Interiors,ETD,-18.42%,-8.85%,-20.16%,135.71%,-27.27%,5.60%
Astec Industries,ASTE,9.99%,28.43%,,,-60.92%,14.34%
Tango Therapeutics,TNGX,153.03%,,,,-12.90%,3.05%
Cytek Biosciences,CTKB,23.73%,,,,0.00%,-200.00%
Viad Corp,VVI,0.35%,-11.93%,-48.44%,-71.30%,-15.31%,6.79%
Trinity Capital,TRIN,37.63%,,,,-5.45%,1.40%
Lithium Americas,LAC,,,,,0.00%,72.73%
Olo,OLO,21.16%,,,,100.00%,-12.50%
Associated Capital,AC,-6.67%,-50.42%,,-70.59%,0.00%,
Longboard Pharmaceuticals,LBPH,,,,,12.50%,31.35%
GH Research,GHRS,,,-1600.00%,,31.82%,30.95%
ProAssurance,PRA,14.07%,13.91%,,-62.26%,100.00%,71.05%
DRDGOLD,DRD,,,,,0.00%,40.28%
Diversified Energy,DEC,,,,,0.00%,-25.23%
Lithium Americas (Argentina),LAAC,-16.67%,,,,0.00%,236.36%
Pliant Therapeutics,PLRX,-8.07%,,,,-2.63%,7.85%
Portillo's,PTLO,12.32%,,-7.69%,,60.00%,20.59%
Luminar Technologies,LAZR,63.14%,,,,0.00%,-22.22%
Abacus Life,ABL,35.48%,,44.44%,,0.00%,
Grid Dynamics Holdings,GDYN,0.00%,,,,-900.00%,200.00%
TeraWulf,WULF,1012.23%,235.36%,,-214.29%,-140.00%,-277.78%
B Riley Financial,RILY,190.99%,223.73%,,142.19%,0.00%,
Newpark Resources,NR,-5.60%,-22.43%,,-83.33%,100.00%,20.00%
Montana Technologies,AIRJ,,,,,0.00%,
Dime Community Bancshares,DCOM,43.77%,316.99%,-29.79%,94.12%,2.70%,63.47%
Kingsoft Cloud Holdings,KC,-15.45%,,,,-61.54%,-35.56%
Jumia Technologies,JMIA,-15.35%,,,,0.00%,-56.00%
SunOpta,STKL,-14.67%,-34.92%,-1800.00%,,0.00%,66.67%
Astronics,ATRO,35.10%,-16.38%,,-188.10%,-280.00%,105.66%
Conduent,CNDT,-1.40%,-34.03%,,-200.00%,40.00%,-56.06%
Navitas Semiconductor,NVTS,109.76%,,-234.62%,,-16.67%,-11.32%
ConnectOne Bancorp,CNOB,40.62%,129.21%,-34.62%,-5.56%,-2.38%,27.54%
Phibro Animal Health,PAHC,-0.09%,20.43%,55.56%,-50.00%,6.90%,25.66%
United Natural Foods,UNFI,3.66%,183.40%,-89.09%,-88.24%,600.00%,10100.00%
Embecta,EMBC,-1.72%,,-75.70%,,55.81%,2.17%
ChargePoint Holdings,CHPT,59.29%,,,,5.00%,-47.62%
UP Fintech Holding,TIGR,26.03%,729.13%,,,0.00%,
American Superconductor,AMSC,33.38%,139.89%,,,133.33%,-100.00%
Enviri,NVRI,8.13%,53.03%,,-129.17%,66.67%,2700.00%
Hawaiian Holdings,HA,2.18%,-1.19%,,-115.38%,-0.73%,-82.78%
Xometry,XMTR,16.09%,,,,7.69%,-39.39%
Monro Muffler Brake,MNRO,-5.24%,8.85%,-92.00%,-96.15%,-38.24%,42.25%
Pennant,PNTG,13.72%,,,,0.00%,17.81%
PropertyGuru Group,PGRU,,,-133.33%,,0.00%,-100.00%
REGENXBIO,RGNX,-38.81%,-50.09%,,-653.33%,-7.81%,-19.23%
Lyell Immunopharma,LYEL,-99.92%,,,,-20.00%,0.00%
Premier Financial,PFC,85.37%,254.26%,114.29%,150.00%,4.17%,8.88%
UWM Holdings,UWMC,4.13%,,-11.11%,,-100.00%,46.67%
CBL & Associates Properties,CBL,-5.22%,-39.48%,,,0.00%,
Clear Channel Outdoor Holdings,CCO,-0.95%,-10.50%,,,5.56%,-52.00%
Lsb Industries,LXU,-41.77%,60.71%,-71.30%,,66.67%,48.15%
Torrid Holdings,CURV,-11.81%,,-52.17%,,50.00%,47.06%
"Controladora Vuela Compania De Aviacion, S.A.B De C.V",VLRS,13.17%,111.40%,,-87.80%,323.08%,17.39%
Clean Energy Fuels,CLNE,-6.86%,28.49%,,,38.46%,-9.09%
Miller Industries,MLR,49.01%,69.74%,290.91%,92.54%,0.00%,
Lavoro,LVRO,,,,,-83.33%,-280.00%
ARKO,ARKO,-2.80%,,-54.17%,,88.24%,-9.26%
Nikola,NKLA,-15.28%,,,,0.00%,-17.95%
Heidrick & Struggles,HSII,-9.08%,45.87%,-63.03%,-25.42%,15.52%,11.24%
Blend Labs,BLND,-34.67%,,,,25.00%,-21.05%
Hudson Pacific Properties,HPP,-2.49%,39.96%,,-360.00%,6.25%,30.00%
Beyond,BYON,-20.05%,-12.61%,-1458.33%,,-32.61%,-70.90%
Capitol Federal Financial,CFFN,27.71%,10.13%,-62.50%,-64.71%,0.00%,7.14%
European Wax Center,EWCZ,10.74%,,166.67%,,150.00%,46.67%
Hain Celestial,HAIN,-2.01%,4.76%,-800.00%,,85.71%,51.72%
Aris Mining,ARMN,,,,,-63.64%,101.67%
Bitdeer Technologies Group,BTDR,5.20%,,,,-87.50%,900.00%
Noah Holdings,NOAH,17.85%,7.74%,-18.18%,40.00%,0.00%,17.70%
"INTERNATIONAL MONEY EXPRESS, INC",IMXI,23.52%,140.34%,2.44%,281.82%,8.57%,-100.00%
Kornit Digital,KRNT,-3.34%,56.63%,,-680.00%,-9.52%,-21.43%
CareDx,CDNA,-12.81%,294.50%,,,39.13%,-10.07%
Crescent Capital BDC,CCAP,74.60%,,,,6.78%,-7.69%
National Research,NRC,-3.03%,29.05%,-12.12%,3.57%,0.00%,
CION Investment,CION,34.33%,,,,0.00%,
Standard Motor Products,SMP,-1.76%,23.18%,-52.33%,-40.58%,12.50%,15.72%
Sage Therapeutics,SAGE,64.67%,,,,-10.43%,-24.42%
TPG RE Finance Trust,TRTX,-15.55%,-6.90%,,-313.64%,64.71%,-3.88%
SpartanNash,SPTN,1.69%,21.96%,300.00%,14.29%,0.00%,10.88%
Dril-Quip,DRQ,-4.65%,-5.53%,,,0.00%,93.33%
Ares Acquisition II,AACT,,,,,0.00%,
TXO Partners LP,TXO,-34.89%,,-108.16%,,37.50%,54.69%
Nu Skin Enterprises,NUS,-10.77%,-28.96%,-19.40%,-40.00%,80.00%,30.00%
Summit Hotel Properties,INN,6.13%,27.77%,-114.29%,-103.13%,33.33%,11.90%
International General Insurance Holdings,IGIC,23.33%,,95.56%,,0.00%,
Preformed Line Products,PLPC,11.22%,66.92%,47.29%,206.77%,0.00%,
Vaalco Energy Inc,EGY,-1.58%,347.16%,-76.00%,500.00%,200.00%,-100.00%
Vimeo,VMEO,-8.24%,,,,500.00%,0.00%
KKR Real Estate Finance Trust,KREF,1.88%,72.32%,-232.14%,-184.09%,5.41%,-15.04%
AnaptysBio,ANAB,183.61%,,,,-6.49%,7.45%
I3 Verticals,IIIV,16.61%,11.11%,,,-15.79%,25.27%
